fold,train_size,val_size,precision_mean,precision_5th,recall_mean,expectancy_mean,expectancy_5th,share_trend,share_range,share_stress,share_ou,share_cnn,gating_confidence,cnn_weight_mean,cnn_delta_mean,cnn_delta_std
1,2677,2672,0.39491311812137775,0.3592287622899868,0.12462015882011501,0.001847393543641332,0.0007768628686996034,0.10434607517367771,0.10434607517367771,0.5826156993052898,0.10434607517367771,0.10434607517367771,0.5826156993052898,0.10434607517367771,0.0,0.0
2,5349,2672,0.7914562353878166,0.6160326086956522,0.01504321235461162,0.013743687061634502,0.008480978260869567,0.10240449130201727,0.10240449130201727,0.590382034791931,0.10240449130201727,0.10240449130201727,0.5903820347919312,0.10240449130201727,0.0,0.0
3,8021,2672,0.48181366276715204,0.44222461097461097,0.14395467050264377,0.00445440988301456,0.0032667383292383284,0.10580094502228472,0.10580094502228472,0.5767962199108617,0.10580094502228472,0.10580094502228472,0.5767962199108605,0.10580094502228472,0.0,0.0
4,10693,2672,0.8647688501025234,0.7427631578947368,0.016613433218161465,0.015943065503075705,0.012282894736842105,0.1026110430117412,0.1026110430117412,0.589555827953034,0.1026110430117412,0.1026110430117412,0.5895558279530351,0.1026110430117412,0.0,0.0
5,13365,2672,0.37646635591783495,0.19955506117908786,0.009346338509017333,0.0012939906775350485,-0.004013348164627364,0.10300839662356888,0.10300839662356888,0.5879664135057253,0.10300839662356888,0.10300839662356888,0.5879664135057241,0.10300839662356888,0.0,0.0
