fold,train_size,val_size,precision_mean,precision_5th,recall_mean,expectancy_mean,expectancy_5th
1,1708,1705,0.4669694853541098,0.4265517611683849,0.21321429516447843,0.0040090845606232965,0.0027965528350515465
2,3413,1705,0.3860944590329766,0.34765649090348444,0.14654166242994981,0.001582833770989297,0.0004296947271045324
3,5118,1705,0.5496444490837633,0.5128566554159981,0.25103862220198336,0.0064893334725129,0.005385699662479942
4,6823,1705,0.17716076703126743,0.14837337337337336,0.10575434304122,-0.004685176989061976,-0.0055487987987987986
5,8528,1705,0.37018628011552634,0.3453216383593446,0.5144003893663947,0.0011055884034657912,0.00035964915078033903
