fold,static_precision,static_recall,static_expectancy,adaptive_precision,adaptive_recall,adaptive_expectancy,base_th,sensitivity,avg_theta,share_trend,share_range,share_stress,share_ou,share_cnn,gating_confidence,cnn_weight_mean,cnn_delta_mean,cnn_delta_std
1,0.41530054644808745,0.29774730656219395,0.0024590163934426227,0.45740740740740743,0.24191968658178256,0.003722222222222223,0.6,0.18333333333333335,0.03521477431058884,0.35796850921412277,0.018502937918857328,0.6127598546300962,0.008206332504488139,0.00256236573243416,0.6750852520426658,0.00256236573243416,0.0,0.0
2,0.4944237918215613,0.099625468164794,0.00483271375464684,0.7142857142857143,0.033707865168539325,0.01142857142857143,0.7,0.18333333333333335,0.03319362923502922,0.5019408355150684,0.030283556254088115,0.45161596575072327,0.012086101661869263,0.004073540818250459,0.6641107639103924,0.004073540818250459,0.0,0.0
3,0.49230769230769234,0.14109347442680775,0.0047692307692307695,0.9411764705882353,0.014109347442680775,0.01823529411764706,0.7,0.1,0.050582028925418854,0.29640997932286123,0.15552940133844292,0.5234069421467894,0.008505652120030148,0.01614802507187789,0.5660320643157368,0.01614802507187789,0.0,0.0
4,0.5160075329566854,0.2370242214532872,0.005480225988700564,0.75,0.08304498269896193,0.012499999999999999,0.7,0.05,0.04626059532165527,0.36664675580155714,0.0623989439876042,0.5024338433074207,0.05832738879220965,0.010193068111207895,0.5918163067836583,0.010193068111207895,0.0,0.0
5,0.31228861330326946,0.2815040650406504,-0.0006313416009019164,0.3203125,0.041666666666666664,-0.0003906249999999995,0.7,0.05,0.033261459320783615,0.34159393634930607,0.383538200157968,0.24290586728216235,0.006411425141063162,0.025550571069499813,0.5235143814447428,0.025550571069499813,0.0,0.0
