Asset,Cluster,Precision,Recall,Expectancy,Folds
DOGEUSDT,1,0.6307299270072994,0.02683030749275776,0.008921897810218977,5
ETHUSDT,1,0.6240422322775263,0.019936102933976955,0.008721266968325791,5
SOLUSDT,1,0.5119028340080971,0.03270279762051688,0.005357085020242914,5
AVAXUSDT,1,0.47979539641943736,0.01933798380042078,0.00439386189258312,5
LINKUSDT,1,0.4465408805031446,0.013276468736849178,0.0033962264150943387,5
ADAUSDT,1,0.3732718894009216,0.02138176362772371,0.00119815668202765,5
LTCUSDT,1,0.36723684210526314,0.01811108696567916,0.0010171052631578945,5
XRPUSDT,1,0.2864864864864865,0.025283090418603844,-0.0014054054054054054,5
