threshold,precision,recall,f1,sharpe_proxy,expectancy,n_trades
0.2,0.061946902654867256,0.23333333333333334,0.0979020979020979,-16.924616613065457,-0.008141592920353984,226
0.21000000000000002,0.061946902654867256,0.23333333333333334,0.0979020979020979,-16.924616613065457,-0.008141592920353984,226
0.22000000000000003,0.053811659192825115,0.2,0.08480565371024736,-18.498688215213885,-0.008385650224215247,223
0.23000000000000004,0.05,0.18333333333333332,0.07857142857142857,-19.282449675730415,-0.0085,220
0.24000000000000005,0.045662100456621,0.16666666666666666,0.07168458781362007,-20.39339183711257,-0.00863013698630137,219
0.25000000000000006,0.046296296296296294,0.16666666666666666,0.07246376811594202,-20.076359086616215,-0.008611111111111111,216
0.26000000000000006,0.04205607476635514,0.15,0.0656934306569343,-21.228976351124224,-0.008738317757009346,214
0.2700000000000001,0.04225352112676056,0.15,0.06593406593406594,-21.117628852833196,-0.008732394366197183,213
0.2800000000000001,0.04285714285714286,0.15,0.06666666666666667,-20.783572413215925,-0.008714285714285716,210
0.2900000000000001,0.04326923076923077,0.15,0.06716417910447761,-20.560856153311832,-0.008701923076923078,208
0.3000000000000001,0.043478260869565216,0.15,0.06741573033707865,-20.449494325821803,-0.008695652173913045,207
0.3100000000000001,0.0392156862745098,0.13333333333333333,0.0606060606060606,-21.641796296490174,-0.008823529411764707,204
0.3200000000000001,0.0392156862745098,0.13333333333333333,0.0606060606060606,-21.641796296490174,-0.008823529411764707,204
0.3300000000000001,0.039603960396039604,0.13333333333333333,0.061068702290076333,-21.40565757932251,-0.008811881188118811,202
0.34000000000000014,0.039603960396039604,0.13333333333333333,0.061068702290076333,-21.40565757932251,-0.008811881188118811,202
0.35000000000000014,0.03482587064676617,0.11666666666666667,0.05363984674329502,-23.083379633767724,-0.008955223880597015,201
0.36000000000000015,0.03482587064676617,0.11666666666666667,0.05363984674329502,-23.083379633767724,-0.008955223880597015,201
0.37000000000000016,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.38000000000000017,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.3900000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.4000000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.4100000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.4200000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.4300000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.4400000000000002,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.45000000000000023,0.03535353535353535,0.11666666666666667,0.05426356589147287,-22.704863910091298,-0.00893939393939394,198
0.46000000000000024,0.03553299492385787,0.11666666666666667,0.05447470817120623,-22.578688171937287,-0.008934010152284264,197
0.47000000000000025,0.03553299492385787,0.11666666666666667,0.05447470817120623,-22.578688171937287,-0.008934010152284264,197
0.48000000000000026,0.03553299492385787,0.11666666666666667,0.05447470817120623,-22.578688171937287,-0.008934010152284264,197
0.49000000000000027,0.035897435897435895,0.11666666666666667,0.05490196078431371,-22.32633076868443,-0.008923076923076924,195
0.5000000000000002,0.03626943005181347,0.11666666666666667,0.05533596837944663,-22.0739652525236,-0.008911917098445596,193
0.5100000000000002,0.03626943005181347,0.11666666666666667,0.05533596837944663,-22.0739652525236,-0.008911917098445596,193
0.5200000000000002,0.03626943005181347,0.11666666666666667,0.05533596837944663,-22.0739652525236,-0.008911917098445596,193
0.5300000000000002,0.03626943005181347,0.11666666666666667,0.05533596837944663,-22.0739652525236,-0.008911917098445596,193
0.5400000000000003,0.03626943005181347,0.11666666666666667,0.05533596837944663,-22.0739652525236,-0.008911917098445596,193
0.5500000000000003,0.036458333333333336,0.11666666666666667,0.05555555555555556,-21.94777937070215,-0.008906250000000001,192
0.5600000000000003,0.03664921465968586,0.11666666666666667,0.05577689243027888,-21.821591361571567,-0.008900523560209424,191
0.5700000000000003,0.03723404255319149,0.11666666666666667,0.05645161290322581,-21.44301422134448,-0.008882978723404255,188
0.5800000000000003,0.03225806451612903,0.1,0.04878048780487805,-23.239812582912297,-0.00903225806451613,186
0.5900000000000003,0.03260869565217391,0.1,0.04918032786885246,-22.967309268781506,-0.009021739130434782,184
0.6000000000000003,0.03296703296703297,0.1,0.04958677685950414,-22.694798347944676,-0.00901098901098901,182
0.6100000000000003,0.03296703296703297,0.1,0.04958677685950414,-22.694798347944676,-0.00901098901098901,182
0.6200000000000003,0.03296703296703297,0.1,0.04958677685950414,-22.694798347944676,-0.00901098901098901,182
0.6300000000000003,0.03333333333333333,0.1,0.05,-22.422279560509793,-0.009000000000000001,180
0.6400000000000003,0.03409090909090909,0.1,0.05084745762711864,-21.877217285696492,-0.008977272727272728,176
0.6500000000000004,0.034482758620689655,0.1,0.05128205128205129,-21.60467321580923,-0.008965517241379312,174
0.6600000000000004,0.03550295857988166,0.1,0.052401746724890834,-20.92327280074481,-0.008934911242603552,169
0.6700000000000004,0.03614457831325301,0.1,0.05309734513274336,-20.51440325090497,-0.00891566265060241,166
0.6800000000000004,0.037267080745341616,0.1,0.05429864253393666,-19.83290111272661,-0.008881987577639753,161
0.6900000000000004,0.04,0.1,0.05714285714285714,-18.33333333333333,-0.008799999999999999,150
